id	eixo	curso	cd_cbo	desc_cbo	marc_inc
137	GESTÃO E NEGÓCIOS 	Técnico em Serviços Jurídicos 	351405	Escrevente	
138	GESTÃO E NEGÓCIOS 	Técnico em Serviços Públicos 	---		
139	GESTÃO E NEGÓCIOS 	Técnico em Transações Imobiliárias 	354605	Corretor de imóveis	
140	GESTÃO E NEGÓCIOS 	Técnico em Transações Imobiliárias 	354205	Comprador	
141	GESTÃO E NEGÓCIOS 	Técnico em Transações Imobiliárias 	354410	Avaliador de imóveis	
142	GESTÃO E NEGÓCIOS 	Técnico em Transações Imobiliárias 	354140	Técnico em atendimento e vendas	
143	GESTÃO E NEGÓCIOS 	Técnico em Transações Imobiliárias 	354130	Promotor de vendas especializado	
144	GESTÃO E NEGÓCIOS 	Técnico em Vendas 	354135	Técnico de vendas	
145	GESTÃO E NEGÓCIOS 	Técnico em Vendas 	354140	Técnico em atendimento e vendas	
146	GESTÃO E NEGÓCIOS 	Técnico em Vendas 	521115	Promotor de vendas	
147	GESTÃO E NEGÓCIOS 	Técnico em Vendas 	354705	Representante comercial autônomo	
148	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Computação Gráfica 	317120	Programador de multimídia	
149	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Desenvolvimento de Sistemas 	317105	Programador de internet	
150	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Desenvolvimento de Sistemas 	317110	Programador de sistemas de informação	
151	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática 	317110	Programador de sistemas de informação	
152	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática 	317210	Técnico de apoio ao usuário de informática (helpdesk)	
153	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática 	317205	Operador de computador (inclusive microcomputador)	
154	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática 	313220	Técnico em manutenção de equipamentos de informática	
155	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática 	212315	Administrador de sistemas operacionais	
156	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática para Internet 	317105	Programador de internet	
157	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática para Internet 	317120	Programador de multimídia	
158	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Informática para Internet 	317110	Programador de sistemas de informação	
159	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Manutenção e Suporte em Informática 	313220	Técnico em manutenção de equipamentos de informática	
160	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Manutenção e Suporte em Informática 	317210	Técnico de apoio ao usuário de informática (helpdesk)	
161	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Programação de Jogos Digitais 	317120	Programador de multimídia	
162	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Redes de Computadores 	212315	Administrador de sistemas operacionais	
163	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Redes de Computadores 	313220	Técnico em Manutenção de equipamentos de informática	
164	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Redes de Computadores 	317210	Técnico de apoio ao usuário de informática (helpdesk)	
165	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Comutação 	313310	Técnico de rede (telecomunicações)	
166	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Comutação 	313305	Técnico de comunicação de dados	
167	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Comutação 	731305	Instaladorreparador de equipamentos de comutação em telefonia	
168	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Transmissão 	313320	Técnico de transmissão (telecomunicações)	
169	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Transmissão 	313310	Técnico de rede (telecomunicações)	
170	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Transmissão 	313305	Técnico de comunicação de dados	
171	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Transmissão 	313315	Técnico de Telecomunicações (Telefonia)	
172	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Sistemas de Transmissão 	391205	Inspetor de qualidade	
173	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Telecomunicações 	313315	Técnico de telecomunicações (telefonia)	
174	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Telecomunicações 	313305	Técnico de comunicação de dados	
175	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Telecomunicações 	313310	Técnico de rede (telecomunicações)	
176	INFORMAÇÃO E COMUNICAÇÃO 	Técnico em Telecomunicações 	313320	Técnico de transmissão (telecomunicações)	
177	INFRAESTRUTURA 	Técnico Aeroportuário 	342540	Supervisor da administração de aeroportos	
178	INFRAESTRUTURA 	Técnico Aeroportuário 	342210	Despachante aduaneiro	
179	INFRAESTRUTURA 	Técnico Aeroportuário 	342510	Despachante operacional de vôo	
180	INFRAESTRUTURA 	Técnico Aeroportuário 	342515	Fiscal de aviação civil (FAC)	
181	INFRAESTRUTURA 	Técnico Aeroportuário 	342530	Inspetor de aviação civil	
182	INFRAESTRUTURA 	Técnico Aeroportuário 	342535	Operador de atendimento aeroviário	
183	INFRAESTRUTURA 	Técnico em Agrimensura 	312320	Topógrafo	
